epoch,train_pixel,train_grad,train_ssim,train_total,val_pixel,val_grad,val_ssim,val_total
1,1.4790503370761872,0.6032445502281188,0.7945816326141357,2.177963442802429,0.4022025853395462,0.6154464840888977,0.5518385767936707,0.9858451068401337
2,0.3487596496939659,0.556428998708725,0.4061485135555267,0.830048406124115,0.2975165188312531,0.5160212278366089,0.34578706622123717,0.7284206628799439
3,0.24274398416280746,0.49147620260715486,0.31946993112564087,0.6482170522212982,0.16457795351743698,0.4587168633937836,0.2999120235443115,0.5438923925161362
4,0.23138565957546234,0.45595999956130984,0.2763018524646759,0.5975165855884552,0.12518633753061295,0.43415472507476804,0.2654008388519287,0.4749641239643097
5,0.19643443033099175,0.44138948678970336,0.2527186918258667,0.543488523364067,0.1389899104833603,0.4100114583969116,0.21969110369682313,0.45384118854999544
6,0.16279862985014915,0.4223501217365265,0.23227410435676574,0.49011074483394623,0.12442618310451507,0.40588405132293703,0.22151983976364137,0.43812812566757203
7,0.15947794809937477,0.4145569962263107,0.2213076627254486,0.4774102771282196,0.13305402770638466,0.4036977291107178,0.22358201146125795,0.4466938942670822
8,0.14665837243199348,0.4038612902164459,0.2117001724243164,0.4544391018152237,0.13477184474468232,0.3916504383087158,0.20640611052513122,0.4338001161813736
9,0.13861628443002702,0.39427757322788237,0.20211829900741576,0.4368142229318619,0.09652887210249901,0.3843173384666443,0.19844817519187927,0.38791162967681886
10,0.1400488629937172,0.3896187353134155,0.20051153898239135,0.4351140010356903,0.10904416292905808,0.37346058487892153,0.19055944681167603,0.39105417728424074
11,0.130683221668005,0.37890759348869324,0.18798059105873108,0.4141273158788681,0.09485739469528198,0.3661620855331421,0.17765058875083922,0.3667637288570404
12,0.1284155249595642,0.37185864567756655,0.17744022130966186,0.4030649596452713,0.07489733695983887,0.3577965646982193,0.17269506454467773,0.340143147110939
13,0.1280420307815075,0.3630511111021042,0.17101104855537413,0.3950731110572815,0.0826462984085083,0.3471426129341125,0.15864927172660828,0.33554223775863645
14,0.1321149355173111,0.3567969697713852,0.16674862146377564,0.3938877308368683,0.0878001794219017,0.3495483994483948,0.167800635099411,0.3464746981859207
15,0.12062522888183594,0.35018747448921206,0.1641074860095978,0.3777727109193802,0.07866285666823387,0.33653796911239625,0.1546896994113922,0.3242766886949539
16,0.13012287840247155,0.34714965224266053,0.16157748699188232,0.3844864469766617,0.09014127627015114,0.3436966300010681,0.1682276666164398,0.34610342383384707
17,0.11265129968523979,0.3393292051553726,0.15460882544517518,0.35962031424045565,0.08137091770768165,0.3238430380821228,0.15155439972877502,0.31906963884830475
18,0.12441098555922508,0.3333274406194687,0.15367058753967286,0.3679100006818771,0.07987940832972526,0.3239150196313858,0.15151622891426086,0.31759503185749055
19,0.11651758953928948,0.3280314093828201,0.1487726652622223,0.35491962611675265,0.08139280900359154,0.3152216047048569,0.14412496089935303,0.3110660880804062
20,0.13094232425093652,0.3235859227180481,0.1454382562637329,0.36545441329479217,0.08300321251153946,0.3102507472038269,0.14009122252464296,0.30817419588565825
